id;exercise_id;name;description;video_url;number_of_points_to_passed;img;max_points;number_of_attempts;number_of_strokes_in_one_attempt;is_white;is_red;is_yellow;is_green;is_brown;is_blue;is_pink;is_black;is_button_pass;is_bonus_point;bonus_info;bonus_number_of_points;level;length
87;e511;Long double;Pot the red after cushion. Thanks to double, you will learn to recognize less obvious moves, you will gain confidence in such plays.;784593193;7;e511.png;10;10;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;BLUE;900
88;e710;Two low reds;Pot the red ball with the highest possible color and then clear the sequence of colors. Remember about good positioning!;785806284;37;e710.png;43;1;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BLACK;1200
89;e612;Long double pot;Set the balls according to the scheme and then pocket the red double. Try to backside the white ball to a safe place.;784593241;8;e612.png;10;10;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;PINK;900
90;e711;Release the reds;Position the cue ball in such a way that release the reds is as easy as possible. It's important to get positions for the next red after being released.;785806366;55;e711.png;59;1;14;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BLACK;1500
91;e112;Simple double;Contrary to appearances, pocketing a red ball with a double is not a difficult shot. By practicing such strokes, you will notice that, on the contrary, they are quite easy.;784593069;6;e112.png;10;10;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;RED;600
92;e310;Angles on the double;In this exercise, we practice pocketing the double ball, but from different angles. Watch out for the double capture!;784593102;5;e310.png;5;5;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;GREEN;900
93;e410;Double to corner;Hitting a double into a corner pocket can sometimes be less obvious. Practice and surprise your opponent. Watch out for double capturing the cue ball.;784593154;3;e410.png;5;5;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;BROWN;600
94;e512;15 Reds in straight line;Set the red balls according to the scheme. The cue ball from anywhere. Clear the table on the first try.;785806213;15;e512.png;15;1;15;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;BLUE;900
95;e613;Snooker for snooker;Escape from snooker leaving the snooker to your opponent. Going snooker is only half the battle, it's more important not to leave your opponent with an easy game.;785806328;4;e613.png;5;5;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;...;0;PINK;900
96;e016;Easy snooker;Line up the balls as shown in the diagram. Hit the cue ball in such a way that after bouncing off the cushion it hits the pink ball. Your first out of snooker.;784593283;8;e016.png;10;10;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;...;0;WHITE;600
