id;exercise_id;name;description;video_url;number_of_points_to_passed;img;max_points;number_of_attempts;number_of_strokes_in_one_attempt;is_white;is_red;is_yellow;is_green;is_brown;is_blue;is_pink;is_black;is_button_pass;is_bonus_point;bonus_info;bonus_number_of_points;level;length
74;e606;5 Long Red Pots;Set the balls as illustrated and start pot the red. You set the white ball a anyplace in field D.;775485979;4;e606.png;5;5;1;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;PINK;1200
75;e704;Open the pack of 6 Reds;Set the color balls with your spot and a pack six reds next to the pink ball. Pot the red and blue and open the pack of six reds.;775486043;70;e704.png;83;1;20;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BLACK;1800
76;e607;10 Reds and 10 Pinks;Place the pink ball your spot and remaining balls set as illustrated. Pot the ten reds and ten pinks. Clear the table.;775486085;56;e607.png;70;1;20;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;...;0;PINK;1200
77;e608;Pot the Pink from the spot;Place the pink ball your spot and the white ball set to anywhere in field D. Pot the pink.;775486140;54;e608.png;60;10;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;...;0;PINK;900
78;e609;The Line Up;The snooker line up exercise is probably the most common training exercise. This exercise is a must if you want to improve your game. Pot the reds and colours.;775486166;100;e609.png;147;1;36;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;PINK;1800
79;e510;Safety zone;Hit the pack of reds and control the cue ball to finish in the zone by bottom cushion.;775486217;8;e510.png;10;10;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;...;0;BLUE;900
80;e705;Open the pack of 3 reds;Good position after pot red ball is very important. You have to good position to open pack of three reds. Pot the red and black and open the pack of three reds.;775486257;56;e705.png;59;1;14;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BLACK;1800
81;e706;Snookered behind the black;Getting out of difficult snooker and set snooker again. In this exercises everything is important, concentration, force, aiming.;775486305;6;e706.png;10;10;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;...;0;BLACK;900
82;e610;High Black;Pot the black ball with high position as set the white ball on the good position to yellow ball. Clear the table.;775486346;34;e610.png;34;1;7;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;PINK;1200
83;e708;You need a 43 to win;You need a 43 point! To win you have to pocket the last two reds with the black ball and then clear the table.;775486402;43;e708.png;43;1;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BLACK;1800
84;e709;Only low colors;Set the balls as illustrated and start with anywhere. Pot the six reds with only the low colors on their spots.;775486449;27;e709.png;33;1;15;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;...;0;BLACK;1800
85;e611;8 Reds and 8 Colors;Set the balls as illustrated and start with anywhere. Pot the eight reds and eight colors. Clear the table, You don't forget to concentration!;775486504;81;e611.png;91;1;22;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;PINK;1800
86;e707;Low Black;Pot the black ball with low position as set the white ball on the good position to yellow ball. Clear the table.;775486580;34;e707.png;34;1;7;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;...;0;BLACK;1200
